State,Year,EC,,,,,,,,
California,1952,32,,,,,,,,
Colorado,1952,6,,,,,,,,
Connecticut,1952,8,,,,,,,,
District of Columbia,1952,0,,,,,,,,
Delaware,1952,3,,,,,,,,
Florida,1952,10,,,,,,,,
Georgia,1952,12,,,,,,,,
Hawaii,1952,0,,,,,,,,
Idaho,1952,4,,,,,,,,
Illinois,1952,27,,,,,,,,
Indiana,1952,13,,,,,,,,
Iowa,1952,10,,,,,,,,
Kansas,1952,8,,,,,,,,
Kentucky,1952,10,,,,,,,,
Louisiana,1952,10,,,,,,,,
Maine,1952,5,,,,,,,,
Maryland,1952,9,,,,,,,,
Massachusetts,1952,16,,,,,,,,
Michigan,1952,20,,,,,,,,
Minnesota,1952,11,,,,,,,,
Mississippi,1952,8,,,,,,,,
Missouri,1952,13,,,,,,,,
Montana,1952,4,,,,,,,,
Nebraska,1952,6,,,,,,,,
Nevada,1952,3,,,,,,,,
New Hampshire,1952,4,,,,,,,,
New Jersey,1952,16,,,,,,,,
New Mexico,1952,4,,,,,,,,
New York,1952,45,,,,,,,,
North Carolina,1952,14,,,,,,,,
North Dakota,1952,4,,,,,,,,
Ohio,1952,25,,,,,,,,
Oklahoma,1952,8,,,,,,,,
Oregon,1952,6,,,,,,,,
Pennsylvania,1952,32,,,,,,,,
Rhode Island,1952,4,,,,,,,,
South Carolina,1952,8,,,,,,,,
South Dakota,1952,4,,,,,,,,
Tennessee,1952,11,,,,,,,,
Texas,1952,24,,,,,,,,
Utah,1952,4,,,,,,,,
Vermont,1952,3,,,,,,,,
Virginia,1952,12,,,,,,,,
Washington,1952,9,,,,,,,,
West Virginia,1952,8,,,,,,,,
Wisconsin,1952,12,,,,,,,,
Wyoming,1952,3,,,,,,,,
Alabama,1956,11,,,,,,,,
Alaska,1956,0,,,,,,,,
Arizona,1956,4,,,,,,,,
Arkansas,1956,8,,,,,,,,
California,1956,32,,,,,,,,
Colorado,1956,6,,,,,,,,
Connecticut,1956,8,,,,,,,,
District of Columbia,1956,0,,,,,,,,
Delaware,1956,3,,,,,,,,
Florida,1956,10,,,,,,,,
Georgia,1956,12,,,,,,,,
Hawaii,1956,0,,,,,,,,
Idaho,1956,4,,,,,,,,
Illinois,1956,27,,,,,,,,
Indiana,1956,13,,,,,,,,
Iowa,1956,10,,,,,,,,
Kansas,1956,8,,,,,,,,
Kentucky,1956,10,,,,,,,,
Louisiana,1956,10,,,,,,,,
Maine,1956,5,,,,,,,,
Maryland,1956,9,,,,,,,,
Massachusetts,1956,16,,,,,,,,
Michigan,1956,20,,,,,,,,
Minnesota,1956,11,,,,,,,,
Mississippi,1956,8,,,,,,,,
Missouri,1956,13,,,,,,,,
Montana,1956,4,,,,,,,,
Nebraska,1956,6,,,,,,,,
Nevada,1956,3,,,,,,,,
New Hampshire,1956,4,,,,,,,,
New Jersey,1956,16,,,,,,,,
New Mexico,1956,4,,,,,,,,
New York,1956,45,,,,,,,,
North Carolina,1956,14,,,,,,,,
North Dakota,1956,4,,,,,,,,
Ohio,1956,25,,,,,,,,
Oklahoma,1956,8,,,,,,,,
Oregon,1956,6,,,,,,,,
Pennsylvania,1956,32,,,,,,,,
Rhode Island,1956,4,,,,,,,,
South Carolina,1956,8,,,,,,,,
South Dakota,1956,4,,,,,,,,
Tennessee,1956,11,,,,,,,,
Texas,1956,24,,,,,,,,
Utah,1956,4,,,,,,,,
Vermont,1956,3,,,,,,,,
Virginia,1956,12,,,,,,,,
Washington,1956,9,,,,,,,,
West Virginia,1956,8,,,,,,,,
Wisconsin,1956,12,,,,,,,,
Wyoming,1956,3,,,,,,,,
Alabama,1960,11,,,,,,,,
Alaska,1960,3,,,,,,,,
Arizona,1960,4,,,,,,,,
Arkansas,1960,8,,,,,,,,
California,1960,32,,,,,,,,
Colorado,1960,6,,,,,,,,
Connecticut,1960,8,,,,,,,,
District of Columbia,1960,0,,,,,,,,
Delaware,1960,3,,,,,,,,
Florida,1960,10,,,,,,,,
Georgia,1960,12,,,,,,,,
Hawaii,1960,3,,,,,,,,
Idaho,1960,4,,,,,,,,
Illinois,1960,27,,,,,,,,
Indiana,1960,13,,,,,,,,
Iowa,1960,10,,,,,,,,
Kansas,1960,8,,,,,,,,
Kentucky,1960,10,,,,,,,,
Louisiana,1960,10,,,,,,,,
Maine,1960,5,,,,,,,,
Maryland,1960,9,,,,,,,,
Massachusetts,1960,16,,,,,,,,
Michigan,1960,20,,,,,,,,
Minnesota,1960,11,,,,,,,,
Mississippi,1960,8,,,,,,,,
Missouri,1960,13,,,,,,,,
Montana,1960,4,,,,,,,,
Nebraska,1960,6,,,,,,,,
Nevada,1960,3,,,,,,,,
New Hampshire,1960,4,,,,,,,,
New Jersey,1960,16,,,,,,,,
New Mexico,1960,4,,,,,,,,
New York,1960,45,,,,,,,,
North Carolina,1960,14,,,,,,,,
North Dakota,1960,4,,,,,,,,
Ohio,1960,25,,,,,,,,
Oklahoma,1960,8,,,,,,,,
Oregon,1960,6,,,,,,,,
Pennsylvania,1960,32,,,,,,,,
Rhode Island,1960,4,,,,,,,,
South Carolina,1960,8,,,,,,,,
South Dakota,1960,4,,,,,,,,
Tennessee,1960,11,,,,,,,,
Texas,1960,24,,,,,,,,
Utah,1960,4,,,,,,,,
Vermont,1960,3,,,,,,,,
Virginia,1960,12,,,,,,,,
Washington,1960,9,,,,,,,,
West Virginia,1960,8,,,,,,,,
Wisconsin,1960,12,,,,,,,,
Wyoming,1960,3,,,,,,,,
Alabama,1964,0,,,,,,,,
Alaska,1964,3,,,,,,,,
Arizona,1964,5,,,,,,,,
Arkansas,1964,6,,,,,,,,
California,1964,40,,,,,,,,
Colorado,1964,6,,,,,,,,
Connecticut,1964,8,,,,,,,,
District of Columbia,1964,3,,,,,,,,
Delaware,1964,3,,,,,,,,
Florida,1964,14,,,,,,,,
Georgia,1964,12,,,,,,,,
Hawaii,1964,4,,,,,,,,
Idaho,1964,4,,,,,,,,
Illinois,1964,26,,,,,,,,
Indiana,1964,13,,,,,,,,
Iowa,1964,9,,,,,,,,
Kansas,1964,7,,,,,,,,
Kentucky,1964,9,,,,,,,,
Louisiana,1964,10,,,,,,,,
Maine,1964,4,,,,,,,,
Maryland,1964,10,,,,,,,,
Massachusetts,1964,14,,,,,,,,
Michigan,1964,21,,,,,,,,
Minnesota,1964,10,,,,,,,,
Mississippi,1964,7,,,,,,,,
Missouri,1964,12,,,,,,,,
Montana,1964,4,,,,,,,,
Nebraska,1964,5,,,,,,,,
Nevada,1964,3,,,,,,,,
New Hampshire,1964,4,,,,,,,,
New Jersey,1964,17,,,,,,,,
New Mexico,1964,4,,,,,,,,
New York,1964,43,,,,,,,,
North Carolina,1964,13,,,,,,,,
North Dakota,1964,4,,,,,,,,
Ohio,1964,26,,,,,,,,
Oklahoma,1964,8,,,,,,,,
Oregon,1964,6,,,,,,,,
Pennsylvania,1964,29,,,,,,,,
Rhode Island,1964,4,,,,,,,,
South Carolina,1964,8,,,,,,,,
South Dakota,1964,4,,,,,,,,
Tennessee,1964,11,,,,,,,,
Texas,1964,25,,,,,,,,
Utah,1964,4,,,,,,,,
Vermont,1964,3,,,,,,,,
Virginia,1964,12,,,,,,,,
Washington,1964,9,,,,,,,,
West Virginia,1964,7,,,,,,,,
Wisconsin,1964,12,,,,,,,,
Wyoming,1964,3,,,,,,,,
Alabama,1968,0,,,,,,,,
Alaska,1968,3,,,,,,,,
Arizona,1968,5,,,,,,,,
Arkansas,1968,0,,,,,,,,
California,1968,40,,,,,,,,
Colorado,1968,6,,,,,,,,
Connecticut,1968,8,,,,,,,,
District of Columbia,1968,3,,,,,,,,
Delaware,1968,3,,,,,,,,
Florida,1968,14,,,,,,,,
Georgia,1968,0,,,,,,,,
Hawaii,1968,4,,,,,,,,
Idaho,1968,4,,,,,,,,
Illinois,1968,26,,,,,,,,
Indiana,1968,13,,,,,,,,
Iowa,1968,9,,,,,,,,
Kansas,1968,7,,,,,,,,
Kentucky,1968,9,,,,,,,,
Louisiana,1968,0,,,,,,,,
Maine,1968,4,,,,,,,,
Maryland,1968,10,,,,,,,,
Massachusetts,1968,14,,,,,,,,
Michigan,1968,21,,,,,,,,
Minnesota,1968,10,,,,,,,,
Mississippi,1968,0,,,,,,,,
Missouri,1968,12,,,,,,,,
Montana,1968,4,,,,,,,,
Nebraska,1968,5,,,,,,,,
Nevada,1968,3,,,,,,,,
New Hampshire,1968,4,,,,,,,,
New Jersey,1968,17,,,,,,,,
New Mexico,1968,4,,,,,,,,
New York,1968,43,,,,,,,,
North Carolina,1968,13,,,,,,,,
North Dakota,1968,4,,,,,,,,
Ohio,1968,26,,,,,,,,
Oklahoma,1968,8,,,,,,,,
Oregon,1968,6,,,,,,,,
Pennsylvania,1968,29,,,,,,,,
Rhode Island,1968,4,,,,,,,,
South Carolina,1968,8,,,,,,,,
South Dakota,1968,4,,,,,,,,
Tennessee,1968,11,,,,,,,,
Texas,1968,25,,,,,,,,
Utah,1968,4,,,,,,,,
Vermont,1968,3,,,,,,,,
Virginia,1968,12,,,,,,,,
Washington,1968,9,,,,,,,,
West Virginia,1968,7,,,,,,,,
Wisconsin,1968,12,,,,,,,,
Wyoming,1968,3,,,,,,,,
Alabama,1972,9,,,,,,,,
Alaska,1972,3,,,,,,,,
Arizona,1972,6,,,,,,,,
Arkansas,1972,6,,,,,,,,
California,1972,45,,,,,,,,
Colorado,1972,7,,,,,,,,
Connecticut,1972,8,,,,,,,,
District of Columbia,1972,3,,,,,,,,
Delaware,1972,3,,,,,,,,
Florida,1972,17,,,,,,,,
Georgia,1972,12,,,,,,,,
Hawaii,1972,4,,,,,,,,
Idaho,1972,4,,,,,,,,
Illinois,1972,26,,,,,,,,
Indiana,1972,13,,,,,,,,
Iowa,1972,8,,,,,,,,
Kansas,1972,7,,,,,,,,
Kentucky,1972,9,,,,,,,,
Louisiana,1972,10,,,,,,,,
Maine,1972,4,,,,,,,,
Maryland,1972,10,,,,,,,,
Massachusetts,1972,14,,,,,,,,
Michigan,1972,21,,,,,,,,
Minnesota,1972,10,,,,,,,,
Mississippi,1972,7,,,,,,,,
Missouri,1972,12,,,,,,,,
Montana,1972,4,,,,,,,,
Nebraska,1972,5,,,,,,,,
Nevada,1972,3,,,,,,,,
New Hampshire,1972,4,,,,,,,,
New Jersey,1972,17,,,,,,,,
New Mexico,1972,4,,,,,,,,
New York,1972,41,,,,,,,,
North Carolina,1972,13,,,,,,,,
North Dakota,1972,3,,,,,,,,
Ohio,1972,25,,,,,,,,
Oklahoma,1972,8,,,,,,,,
Oregon,1972,6,,,,,,,,
Pennsylvania,1972,27,,,,,,,,
Rhode Island,1972,4,,,,,,,,
South Carolina,1972,8,,,,,,,,
South Dakota,1972,4,,,,,,,,
Tennessee,1972,10,,,,,,,,
Texas,1972,26,,,,,,,,
Utah,1972,4,,,,,,,,
Vermont,1972,3,,,,,,,,
Virginia,1972,12,,,,,,,,
Washington,1972,9,,,,,,,,
West Virginia,1972,6,,,,,,,,
Wisconsin,1972,11,,,,,,,,
Wyoming,1972,3,,,,,,,,
Alabama,1976,9,,,,,,,,
Alaska,1976,3,,,,,,,,
Arizona,1976,6,,,,,,,,
Arkansas,1976,6,,,,,,,,
California,1976,45,,,,,,,,
Colorado,1976,7,,,,,,,,
Connecticut,1976,8,,,,,,,,
District of Columbia,1976,3,,,,,,,,
Delaware,1976,3,,,,,,,,
Florida,1976,17,,,,,,,,
Georgia,1976,12,,,,,,,,
Hawaii,1976,4,,,,,,,,
Idaho,1976,4,,,,,,,,
Illinois,1976,26,,,,,,,,
Indiana,1976,13,,,,,,,,
Iowa,1976,8,,,,,,,,
Kansas,1976,7,,,,,,,,
Kentucky,1976,9,,,,,,,,
Louisiana,1976,10,,,,,,,,
Maine,1976,4,,,,,,,,
Maryland,1976,10,,,,,,,,
Massachusetts,1976,14,,,,,,,,
Michigan,1976,21,,,,,,,,
Minnesota,1976,10,,,,,,,,
Mississippi,1976,7,,,,,,,,
Missouri,1976,12,,,,,,,,
Montana,1976,4,,,,,,,,
Nebraska,1976,5,,,,,,,,
Nevada,1976,3,,,,,,,,
New Hampshire,1976,4,,,,,,,,
New Jersey,1976,17,,,,,,,,
New Mexico,1976,4,,,,,,,,
New York,1976,41,,,,,,,,
North Carolina,1976,13,,,,,,,,
North Dakota,1976,3,,,,,,,,
Ohio,1976,25,,,,,,,,
Oklahoma,1976,8,,,,,,,,
Oregon,1976,6,,,,,,,,
Pennsylvania,1976,27,,,,,,,,
Rhode Island,1976,4,,,,,,,,
South Carolina,1976,8,,,,,,,,
South Dakota,1976,4,,,,,,,,
Tennessee,1976,10,,,,,,,,
Texas,1976,26,,,,,,,,
Utah,1976,4,,,,,,,,
Vermont,1976,3,,,,,,,,
Virginia,1976,12,,,,,,,,
Washington,1976,9,,,,,,,,
West Virginia,1976,6,,,,,,,,
Wisconsin,1976,11,,,,,,,,
Wyoming,1976,3,,,,,,,,
Alabama,1980,9,,,,,,,,
Alaska,1980,3,,,,,,,,
Arizona,1980,6,,,,,,,,
Arkansas,1980,6,,,,,,,,
California,1980,45,,,,,,,,
Colorado,1980,7,,,,,,,,
Connecticut,1980,8,,,,,,,,
District of Columbia,1980,3,,,,,,,,
Delaware,1980,3,,,,,,,,
Florida,1980,17,,,,,,,,
Georgia,1980,12,,,,,,,,
Hawaii,1980,4,,,,,,,,
Idaho,1980,4,,,,,,,,
Illinois,1980,26,,,,,,,,
Indiana,1980,13,,,,,,,,
Iowa,1980,8,,,,,,,,
Kansas,1980,7,,,,,,,,
Kentucky,1980,9,,,,,,,,
Louisiana,1980,10,,,,,,,,
Maine,1980,4,,,,,,,,
Maryland,1980,10,,,,,,,,
Massachusetts,1980,14,,,,,,,,
Michigan,1980,21,,,,,,,,
Minnesota,1980,10,,,,,,,,
Mississippi,1980,7,,,,,,,,
Missouri,1980,12,,,,,,,,
Montana,1980,4,,,,,,,,
Nebraska,1980,5,,,,,,,,
Nevada,1980,3,,,,,,,,
New Hampshire,1980,4,,,,,,,,
New Jersey,1980,17,,,,,,,,
New Mexico,1980,4,,,,,,,,
New York,1980,41,,,,,,,,
North Carolina,1980,13,,,,,,,,
North Dakota,1980,3,,,,,,,,
Ohio,1980,25,,,,,,,,
Oklahoma,1980,8,,,,,,,,
Oregon,1980,6,,,,,,,,
Pennsylvania,1980,27,,,,,,,,
Rhode Island,1980,4,,,,,,,,
South Carolina,1980,8,,,,,,,,
South Dakota,1980,4,,,,,,,,
Tennessee,1980,10,,,,,,,,
Texas,1980,26,,,,,,,,
Utah,1980,4,,,,,,,,
Vermont,1980,3,,,,,,,,
Virginia,1980,12,,,,,,,,
Washington,1980,9,,,,,,,,
West Virginia,1980,6,,,,,,,,
Wisconsin,1980,11,,,,,,,,
Wyoming,1980,3,,,,,,,,
Alabama,1984,9,,,,,,,,
Alaska,1984,3,,,,,,,,
Arizona,1984,7,,,,,,,,
Arkansas,1984,6,,,,,,,,
California,1984,47,,,,,,,,
Colorado,1984,8,,,,,,,,
Connecticut,1984,8,,,,,,,,
District of Columbia,1984,3,,,,,,,,
Delaware,1984,3,,,,,,,,
Florida,1984,21,,,,,,,,
Georgia,1984,12,,,,,,,,
Hawaii,1984,4,,,,,,,,
Idaho,1984,4,,,,,,,,
Illinois,1984,24,,,,,,,,
Indiana,1984,12,,,,,,,,
Iowa,1984,8,,,,,,,,
Kansas,1984,7,,,,,,,,
Kentucky,1984,9,,,,,,,,
Louisiana,1984,10,,,,,,,,
Maine,1984,4,,,,,,,,
Maryland,1984,10,,,,,,,,
Massachusetts,1984,13,,,,,,,,
Michigan,1984,20,,,,,,,,
Minnesota,1984,10,,,,,,,,
Mississippi,1984,7,,,,,,,,
Missouri,1984,11,,,,,,,,
Montana,1984,4,,,,,,,,
Nebraska,1984,5,,,,,,,,
Nevada,1984,4,,,,,,,,
New Hampshire,1984,4,,,,,,,,
New Jersey,1984,16,,,,,,,,
New Mexico,1984,5,,,,,,,,
New York,1984,36,,,,,,,,
North Carolina,1984,13,,,,,,,,
North Dakota,1984,3,,,,,,,,
Ohio,1984,23,,,,,,,,
Oklahoma,1984,8,,,,,,,,
Oregon,1984,7,,,,,,,,
Pennsylvania,1984,25,,,,,,,,
Rhode Island,1984,4,,,,,,,,
South Carolina,1984,8,,,,,,,,
South Dakota,1984,3,,,,,,,,
Tennessee,1984,11,,,,,,,,
Texas,1984,29,,,,,,,,
Utah,1984,5,,,,,,,,
Vermont,1984,3,,,,,,,,
Virginia,1984,12,,,,,,,,
Washington,1984,10,,,,,,,,
West Virginia,1984,6,,,,,,,,
Wisconsin,1984,11,,,,,,,,
Wyoming,1984,3,,,,,,,,
Alabama,1988,9,,,,,,,,
Alaska,1988,3,,,,,,,,
Arizona,1988,7,,,,,,,,
Arkansas,1988,6,,,,,,,,
California,1988,47,,,,,,,,
Colorado,1988,8,,,,,,,,
Connecticut,1988,8,,,,,,,,
District of Columbia,1988,3,,,,,,,,
Delaware,1988,3,,,,,,,,
Florida,1988,21,,,,,,,,
Georgia,1988,12,,,,,,,,
Hawaii,1988,4,,,,,,,,
Idaho,1988,4,,,,,,,,
Illinois,1988,24,,,,,,,,
Indiana,1988,12,,,,,,,,
Iowa,1988,8,,,,,,,,
Kansas,1988,7,,,,,,,,
Kentucky,1988,9,,,,,,,,
Louisiana,1988,10,,,,,,,,
Maine,1988,4,,,,,,,,
Maryland,1988,10,,,,,,,,
Massachusetts,1988,13,,,,,,,,
Michigan,1988,20,,,,,,,,
Minnesota,1988,10,,,,,,,,
Mississippi,1988,7,,,,,,,,
Missouri,1988,11,,,,,,,,
Montana,1988,4,,,,,,,,
Nebraska,1988,5,,,,,,,,
Nevada,1988,4,,,,,,,,
New Hampshire,1988,4,,,,,,,,
New Jersey,1988,16,,,,,,,,
New Mexico,1988,5,,,,,,,,
New York,1988,36,,,,,,,,
North Carolina,1988,13,,,,,,,,
North Dakota,1988,3,,,,,,,,
Ohio,1988,23,,,,,,,,
Oklahoma,1988,8,,,,,,,,
Oregon,1988,7,,,,,,,,
Pennsylvania,1988,25,,,,,,,,
Rhode Island,1988,4,,,,,,,,
South Carolina,1988,8,,,,,,,,
South Dakota,1988,3,,,,,,,,
Tennessee,1988,11,,,,,,,,
Texas,1988,29,,,,,,,,
Utah,1988,5,,,,,,,,
Vermont,1988,3,,,,,,,,
Virginia,1988,12,,,,,,,,
Washington,1988,10,,,,,,,,
West Virginia,1988,6,,,,,,,,
Wisconsin,1988,11,,,,,,,,
Wyoming,1988,3,,,,,,,,
Alabama,1992,9,,,,,,,,
Alaska,1992,3,,,,,,,,
Arizona,1992,8,,,,,,,,
Arkansas,1992,6,,,,,,,,
California,1992,54,,,,,,,,
Colorado,1992,8,,,,,,,,
Connecticut,1992,8,,,,,,,,
District of Columbia,1992,3,,,,,,,,
Delaware,1992,3,,,,,,,,
Florida,1992,25,,,,,,,,
Georgia,1992,13,,,,,,,,
Hawaii,1992,4,,,,,,,,
Idaho,1992,4,,,,,,,,
Illinois,1992,22,,,,,,,,
Indiana,1992,12,,,,,,,,
Iowa,1992,7,,,,,,,,
Kansas,1992,6,,,,,,,,
Kentucky,1992,8,,,,,,,,
Louisiana,1992,9,,,,,,,,
Maine,1992,4,,,,,,,,
Maryland,1992,10,,,,,,,,
Massachusetts,1992,12,,,,,,,,
Michigan,1992,18,,,,,,,,
Minnesota,1992,10,,,,,,,,
Mississippi,1992,7,,,,,,,,
Missouri,1992,11,,,,,,,,
Montana,1992,3,,,,,,,,
Nebraska,1992,5,,,,,,,,
Nevada,1992,4,,,,,,,,
New Hampshire,1992,4,,,,,,,,
New Jersey,1992,15,,,,,,,,
New Mexico,1992,5,,,,,,,,
New York,1992,33,,,,,,,,
North Carolina,1992,14,,,,,,,,
North Dakota,1992,3,,,,,,,,
Ohio,1992,21,,,,,,,,
Oklahoma,1992,8,,,,,,,,
Oregon,1992,7,,,,,,,,
Pennsylvania,1992,23,,,,,,,,
Rhode Island,1992,4,,,,,,,,
South Carolina,1992,8,,,,,,,,
South Dakota,1992,3,,,,,,,,
Tennessee,1992,11,,,,,,,,
Texas,1992,32,,,,,,,,
Utah,1992,5,,,,,,,,
Vermont,1992,3,,,,,,,,
Virginia,1992,13,,,,,,,,
Washington,1992,11,,,,,,,,
West Virginia,1992,5,,,,,,,,
Wisconsin,1992,11,,,,,,,,
Wyoming,1992,3,,,,,,,,
Alabama,1996,9,,,,,,,,
Alaska,1996,3,,,,,,,,
Arizona,1996,8,,,,,,,,
Arkansas,1996,6,,,,,,,,
California,1996,54,,,,,,,,
Colorado,1996,8,,,,,,,,
Connecticut,1996,8,,,,,,,,
District of Columbia,1996,3,,,,,,,,
Delaware,1996,3,,,,,,,,
Florida,1996,25,,,,,,,,
Georgia,1996,13,,,,,,,,
Hawaii,1996,4,,,,,,,,
Idaho,1996,4,,,,,,,,
Illinois,1996,22,,,,,,,,
Indiana,1996,12,,,,,,,,
Iowa,1996,7,,,,,,,,
Kansas,1996,6,,,,,,,,
Kentucky,1996,8,,,,,,,,
Louisiana,1996,9,,,,,,,,
Maine,1996,4,,,,,,,,
Maryland,1996,10,,,,,,,,
Massachusetts,1996,12,,,,,,,,
Michigan,1996,18,,,,,,,,
Minnesota,1996,10,,,,,,,,
Mississippi,1996,7,,,,,,,,
Missouri,1996,11,,,,,,,,
Montana,1996,3,,,,,,,,
Nebraska,1996,5,,,,,,,,
Nevada,1996,4,,,,,,,,
New Hampshire,1996,4,,,,,,,,
New Jersey,1996,15,,,,,,,,
New Mexico,1996,5,,,,,,,,
New York,1996,33,,,,,,,,
North Carolina,1996,14,,,,,,,,
North Dakota,1996,3,,,,,,,,
Ohio,1996,21,,,,,,,,
Oklahoma,1996,8,,,,,,,,
Oregon,1996,7,,,,,,,,
Pennsylvania,1996,23,,,,,,,,
Rhode Island,1996,4,,,,,,,,
South Carolina,1996,8,,,,,,,,
South Dakota,1996,3,,,,,,,,
Tennessee,1996,11,,,,,,,,
Texas,1996,32,,,,,,,,
Utah,1996,5,,,,,,,,
Vermont,1996,3,,,,,,,,
Virginia,1996,13,,,,,,,,
Washington,1996,11,,,,,,,,
West Virginia,1996,5,,,,,,,,
Wisconsin,1996,11,,,,,,,,
Wyoming,1996,3,,,,,,,,
Alabama,2000,9,,,,,,,,
Alaska,2000,3,,,,,,,,
Arizona,2000,8,,,,,,,,
Arkansas,2000,6,,,,,,,,
California,2000,54,,,,,,,,
Colorado,2000,8,,,,,,,,
Connecticut,2000,8,,,,,,,,
District of Columbia,2000,3,,,,,,,,
Delaware,2000,3,,,,,,,,
Florida,2000,25,,,,,,,,
Georgia,2000,13,,,,,,,,
Hawaii,2000,4,,,,,,,,
Idaho,2000,4,,,,,,,,
Illinois,2000,22,,,,,,,,
Indiana,2000,12,,,,,,,,
Iowa,2000,7,,,,,,,,
Kansas,2000,6,,,,,,,,
Kentucky,2000,8,,,,,,,,
Louisiana,2000,9,,,,,,,,
Maine,2000,4,,,,,,,,
Maryland,2000,10,,,,,,,,
Massachusetts,2000,12,,,,,,,,
Michigan,2000,18,,,,,,,,
Minnesota,2000,10,,,,,,,,
Mississippi,2000,7,,,,,,,,
Missouri,2000,11,,,,,,,,
Montana,2000,3,,,,,,,,
Nebraska,2000,5,,,,,,,,
Nevada,2000,4,,,,,,,,
New Hampshire,2000,4,,,,,,,,
New Jersey,2000,15,,,,,,,,
New Mexico,2000,5,,,,,,,,
New York,2000,33,,,,,,,,
North Carolina,2000,14,,,,,,,,
North Dakota,2000,3,,,,,,,,
Ohio,2000,21,,,,,,,,
Oklahoma,2000,8,,,,,,,,
Oregon,2000,7,,,,,,,,
Pennsylvania,2000,23,,,,,,,,
Rhode Island,2000,4,,,,,,,,
South Carolina,2000,8,,,,,,,,
South Dakota,2000,3,,,,,,,,
Tennessee,2000,11,,,,,,,,
Texas,2000,32,,,,,,,,
Utah,2000,5,,,,,,,,
Vermont,2000,3,,,,,,,,
Virginia,2000,13,,,,,,,,
Washington,2000,11,,,,,,,,
West Virginia,2000,5,,,,,,,,
Wisconsin,2000,11,,,,,,,,
Wyoming,2000,3,,,,,,,,
Alabama,2004,9,,,,,,,,
Alaska,2004,3,,,,,,,,
Arizona,2004,10,,,,,,,,
Arkansas,2004,6,,,,,,,,
California,2004,55,,,,,,,,
Colorado,2004,9,,,,,,,,
Connecticut,2004,7,,,,,,,,
District of Columbia,2004,3,,,,,,,,
Delaware,2004,3,,,,,,,,
Florida,2004,27,,,,,,,,
Georgia,2004,15,,,,,,,,
Hawaii,2004,4,,,,,,,,
Idaho,2004,4,,,,,,,,
Illinois,2004,21,,,,,,,,
Indiana,2004,11,,,,,,,,
Iowa,2004,7,,,,,,,,
Kansas,2004,6,,,,,,,,
Kentucky,2004,8,,,,,,,,
Louisiana,2004,9,,,,,,,,
Maine,2004,4,,,,,,,,
Maryland,2004,10,,,,,,,,
Massachusetts,2004,12,,,,,,,,
Michigan,2004,17,,,,,,,,
Minnesota,2004,10,,,,,,,,
Mississippi,2004,6,,,,,,,,
Missouri,2004,11,,,,,,,,
Montana,2004,3,,,,,,,,
Nebraska,2004,5,,,,,,,,
Nevada,2004,5,,,,,,,,
New Hampshire,2004,4,,,,,,,,
New Jersey,2004,15,,,,,,,,
New Mexico,2004,5,,,,,,,,
New York,2004,31,,,,,,,,
North Carolina,2004,15,,,,,,,,
North Dakota,2004,3,,,,,,,,
Ohio,2004,20,,,,,,,,
Oklahoma,2004,7,,,,,,,,
Oregon,2004,7,,,,,,,,
Pennsylvania,2004,21,,,,,,,,
Rhode Island,2004,4,,,,,,,,
South Carolina,2004,8,,,,,,,,
South Dakota,2004,3,,,,,,,,
Tennessee,2004,11,,,,,,,,
Texas,2004,34,,,,,,,,
